Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Luxembourg,LUX,90,91.9,93.8,94.7,96.4,98.1,97.4,97.1,97.1,98.5,98.7,98.2,99.3,98.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Macao SAR, China",MAC,60.2,61.3,65.8,69.8,77.6,81.6,83.2,83.8,86.5,87.5,88.5,88,89.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Madagascar,MDG,1.9,2.3,3,3.7,4.17,4.71,6.4,7.75,9.38,11.4,13.7,18.6,20.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malawi,MWI,3.33,4.35,5.05,5.83,6,6.3,7,8.8,11.1,13.9,17.5,17,18,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malaysia,MYS,61,65.8,57.1,63.7,71.1,78.8,80.1,81.2,84.2,89.6,96.8,97.4,97.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Maldives,MDV,34,38.9,44.1,49.3,54.5,59.5,65,70.9,77.5,79.1,82,83.9,84.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mali,MLI,2.2,2.8,3.5,7,10.3,14,18.9,21.4,25,29.1,34,34.4,35.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malta,MLT,68,68.2,68.9,73.1,76,78.1,81,81.7,85.8,86.9,87.5,91.5,92.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Marshall Islands,MHL,10,12.5,14,16.8,19.3,29.8,38.7,43.9,49.8,56.4,64,64.8,65.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritania,MRT,4.5,5,6.2,11.8,17.6,19.2,21,23,25.1,27.4,30,34.3,37.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritius,MUS,35,35.4,40.1,44.8,50.1,52.2,55.4,58.6,61.7,67.7,71.6,75.5,79.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mexico,MEX,37.2,39.8,43.5,44.4,57.4,59.5,53,56.7,69.6,71.5,75.6,78.6,81.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Micronesia, Fed. Sts.",FSM,22.8,26,27.8,29.7,31.5,33.4,35.3,36.6,38,39.4,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Moldova,MDA,32.1,34.7,37.4,67,69,71,49.9,50.3,57.8,58.2,74.5,76.7,80.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Monaco,MCO,80.3,87,90.7,92.4,93.4,95.2,97.1,..,83.3,98.6,99.1,99.1,99.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mongolia,MNG,12.5,16.4,17.7,19.9,22.5,22.3,23.7,47.1,51.1,62.5,81.6,82.2,83,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Montenegro,MNE,35.6,56.8,60.3,63.9,68.1,69.9,71.3,71.5,73.5,77.6,82.2,88.2,89.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Morocco,MAR,46.1,55.4,56,56.8,57.1,58.3,61.8,64.8,84.1,84.1,88.1,89.9,91,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mozambique,MOZ,4.6,5,5.5,6,6.5,7,7.8,10.9,12.5,14.3,16.4,18.8,19.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Myanmar,MMR,0.98,1.4,1.8,7.4,10.9,16,23.6,29.4,36.5,45.4,56.5,58,58.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Namibia,NAM,12,12.9,13.9,14.8,25.7,31,36.8,42.8,49.8,57.9,60.3,61.1,64.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nauru,NRU,54,..,..,..,..,..,62.4,..,74.7,81.7,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nepal,NPL,9,11.1,13.3,15.4,17.6,20.7,24.3,28.6,33.3,38.9,45.3,53.9,55.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Netherlands,NLD,91.4,92.9,94,91.7,91.7,90.4,93.2,91.9,93.3,91.3,92.1,92.5,97,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Caledonia,NCL,50,58,66,70,74,..,82,..,..,..,..,..,..,..
